"Issue Type","Issue ID","Parent ID","Epic Link","Epic Name","Summary","Priority","Story Points","Phase","Labels","PRR Refs","Description","Acceptance Criteria"
"Sub-task","ACRME-T170401","ACRME-S1704","ACRME-E17","","Implement capacity-exhaustion queue + incident creation","Medium","","P2","ACRME P2","","",""
"Sub-task","ACRME-T170402","ACRME-S1704","ACRME-E17","","Implement confirmed-state re-evaluation + alert (Runbook A)","Medium","","P2","ACRME P2","","",""
"Epic","ACRME-E18","","","POC & Validation Program","POC & Validation Program","","","","ACRME","§42; B-1..B-7; all FC items","Execute the critical POC sequence and record structured evidence so preview behaviors and unknowns are proven before production, not asserted.",""
"Story","ACRME-S1801","ACRME-E18","ACRME-E18","","POC harness with structured evidence capture","High","8","P1","ACRME P1","§42 evidence fields","As a validation engineer, I want a POC harness that records API version, region, SKU, zone, IDs, timings, and evidence class, so that every result is production-grade evidence, not an assumption.

Depends on: ACRME-S0104","- Harness captures all required evidence fields per run with before/after state + retry history.
- Each result classified as documented/observed/assumed/judgement."
"Sub-task","ACRME-T180101","ACRME-S1801","ACRME-E18","","Build POC harness + structured evidence store","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T180102","ACRME-S1801","ACRME-E18","","Implement evidence classification + report export","High","","P1","ACRME P1","","",""
"Story","ACRME-S1802","ACRME-E18","ACRME-E18","","Sharing, quota, and zone-alignment POCs (critical sequence 1–8, incl. 6a)","High","8","P1","ACRME P1","§42 seq 1-8; B-1; B-2; B-5; FC-06","As a validation engineer, I want sharing/RBAC, unsharing, quota independence, quantity, and zone-alignment POCs executed, so that foundational platform behaviors are proven before pilot.

Depends on: ACRME-S1801","- Sharing/RBAC, unauthorized-consumer rejection, safe+forced unsharing validated.
- Provider/consumer/group quota independence + quantity/reduction/zero-size behavior validated (B-1/B-5).
- Cross-subscription zone alignment (6a) validated with physical-to-logical tables for ≥2 subscriptions."
"Sub-task","ACRME-T180201","ACRME-S1802","ACRME-E18","","Execute POC 1-3 (sharing/RBAC, rejection, unsharing)","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T180202","ACRME-S1802","ACRME-E18","","Execute POC 4-5,7-8 (quota + quantity, group availability B-1)","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T180203","ACRME-S1802","ACRME-E18","","Execute POC 6/6a (zone mapping + cross-sub alignment, FC-06)","High","","P1","ACRME P1","","",""
"Story","ACRME-S1803","ACRME-E18","ACRME-E18","","DR, concurrency, engine-mode, and tier POCs (critical sequence 9–15)","High","8","P2","ACRME P2","§42 seq 9-15; B-7; B-3","As a validation engineer, I want DR-floor, concurrency, engine-mode, and Tier 1/2/3 POCs executed, so that safety-critical behaviors are proven before enabling automation.

Depends on: ACRME-S1802, ACRME-S0901, ACRME-S0902","- DR-floor enforcement, concurrent placement single-winner (B-7), and engine-mode transitions (B-3) validated.
- Tier 1 + Tier 2 validated; Tier 3 confirmed to remain disabled."
"Sub-task","ACRME-T180301","ACRME-S1803","ACRME-E18","","Execute POC 9-12 (DR floor, quota propagation, concurrency, engine mode)","High","","P2","ACRME P2","","",""
"Sub-task","ACRME-T180302","ACRME-S1803","ACRME-E18","","Execute POC 13-15 (Tier 1, Tier 2, Tier 3-disabled)","High","","P2","ACRME P2","","",""
"Story","ACRME-S1804","ACRME-E18","ACRME-E18","","VMSS, AKS, and scale POCs (critical sequence 16–18)","Medium","5","P2","ACRME P2","§42 seq 16-18; FC-08; R-33","As a validation engineer, I want VMSS/AKS behavior and scale testing executed, so that workload integration and scale limits are measured, not assumed.

Depends on: ACRME-S1803","- VMSS Uniform/Flexible + AKS node-pool/autoscaler behavior validated (or Preview limits documented).
- Scale testing at target cardinality validates reconciliation + throughput budgets."
"Sub-task","ACRME-T180401","ACRME-S1804","ACRME-E18","","Execute POC 16-17 (VMSS Uniform/Flexible, AKS)","Medium","","P2","ACRME P2","","",""
"Sub-task","ACRME-T180402","ACRME-S1804","ACRME-E18","","Execute POC 18 (scale testing) + record budgets","Medium","","P2","ACRME P2","","",""
"Epic","ACRME-E19","","","Production Readiness Gates & Governance","Production Readiness Gates & Governance","","","","ACRME","§14; §16; §17; §39; §44; R-01; R-34","Track gap-closure evidence, preview feature-flag governance, and the production entry gates so pilot→production transitions are evidence-based.",""
"Story","ACRME-S1901","ACRME-E19","ACRME-E19","","Preview feature-flag governance and exit paths","Highest","5","P1","ACRME P1","§21; R-01; R-34; R-42; R-43","As a product owner, I want every preview dependency behind a flag with a governance acceptance + exit path, so that preview changes never silently break production.

Depends on: ACRME-S0104","- CRG sharing, groupType enforcement, and VMSS reprovisioning gated behind feature flags (R-01/R-43/R-42).
- Each flag has recorded governance acceptance + a documented exit path.
- Preview/POC results are evidence-labeled and never presented as an SLA (R-34)."
"Sub-task","ACRME-T190101","ACRME-S1901","ACRME-E19","","Implement preview feature-flag framework + registry","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T190102","ACRME-S1901","ACRME-E19","","Record governance acceptance + exit paths per flag","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T190103","ACRME-S1901","ACRME-E19","","Enforce evidence-labeling standard (R-34)","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S1902","ACRME-E19","ACRME-E19","","Gap-closure evidence tracker (G-14/G-15/G-20/G-21/G-23/G-24, B-1..B-7)","High","5","P1","ACRME P1","§39 Gap closure","As a program owner, I want a live tracker mapping each gap to its closure control and acceptance evidence, so that production gates are provably met, not assumed.","- Every gap/blocker has closure control + acceptance evidence status tracked.
- Tracker blocks phase advancement until required evidence is attached."
"Sub-task","ACRME-T190201","ACRME-S1902","ACRME-E19","","Build gap-closure tracker mapping gaps->evidence","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T190202","ACRME-S1902","ACRME-E19","","Gate phase advancement on evidence completeness","High","","P1","ACRME P1","","",""
"Story","ACRME-S1903","ACRME-E19","ACRME-E19","","Production entry gates and conditional pilot checklist","High","3","P1","ACRME P1","§16; §17; §44 Board actions","As a council/board, I want the pilot and production entry gates encoded as an auditable checklist, so that pilot success is not mistaken for production approval.

Depends on: ACRME-S1902","- Pilot-entry and production-entry gate checklists encoded with named approvers.
- Manual rollback demonstrated; separate production authorization required after pilot.
- Destructive-automation enablement requires separate board authorization."
"Sub-task","ACRME-T190301","ACRME-S1903","ACRME-E19","","Encode pilot + production entry-gate checklists","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T190302","ACRME-S1903","ACRME-E19","","Record named approvers + separate-authorization rule","High","","P1","ACRME P1","","",""
